timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614543460348,308,homepage,308,Permanent Redirect,JPetstore 1-1,text,true,,399,550,1,1,http://petstore.octoperf.com/actions/Catalog.action,304,0,241
1614543460210,308,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-1,,true,,399,550,1,1,null,304,179,241
1614543461282,37,signinForm,308,Permanent Redirect,JPetstore 1-1,text,true,,410,791,1,1,http://petstore.octoperf.com/actions/Account.action?signonForm,37,0,0
1614543460697,37,Login page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-1,,true,,410,791,1,1,null,37,590,0
1614543461429,41,viewCatalog,308,Permanent Redirect,JPetstore 1-1,text,true,,399,818,1,1,http://petstore.octoperf.com/actions/Catalog.action,40,0,0
1614543462475,41,signinAccount,308,Permanent Redirect,JPetstore 1-1,text,true,,399,1001,1,1,http://petstore.octoperf.com/actions/Account.action,41,0,0
1614543461324,82,Signin,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-1,,true,,798,1819,1,1,null,81,1111,0
1614543466196,94,homepage,308,Permanent Redirect,JPetstore 1-2,text,true,,399,550,2,2,http://petstore.octoperf.com/actions/Catalog.action,94,0,48
1614543466194,94,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-2,,true,,399,550,2,2,null,94,3,48
1614543466353,46,viewCategory,308,Permanent Redirect,JPetstore 1-1,text,true,,428,809,2,2,http://petstore.octoperf.com/actions/Catalog.action?viewCategory&categoryId=DOGS,46,0,0
1614543462517,46,ViewCategory,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-1,,true,,428,809,2,2,null,46,3837,0
1614543466873,43,signinForm,308,Permanent Redirect,JPetstore 1-2,text,true,,410,791,2,2,http://petstore.octoperf.com/actions/Account.action?signonForm,43,0,0
1614543466291,43,Login page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-2,,true,,410,791,2,2,null,43,583,0
1614543467021,38,viewCatalog,308,Permanent Redirect,JPetstore 1-2,text,true,,399,818,2,2,http://petstore.octoperf.com/actions/Catalog.action,38,0,0
1614543468063,39,signinAccount,308,Permanent Redirect,JPetstore 1-2,text,true,,399,1001,2,2,http://petstore.octoperf.com/actions/Account.action,39,0,0
1614543466917,77,Signin,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-2,,true,,798,1819,2,2,null,77,1109,0
1614543471289,42,viewProduct,308,Permanent Redirect,JPetstore 1-1,text,true,,430,841,2,2,http://petstore.octoperf.com/actions/Catalog.action?viewProduct&productId=K9-BD-01,42,0,0
1614543466401,42,ViewProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-1,,true,,430,841,2,2,null,42,4888,0
1614543471938,41,viewCategory,308,Permanent Redirect,JPetstore 1-2,text,true,,428,809,2,2,http://petstore.octoperf.com/actions/Catalog.action?viewCategory&categoryId=DOGS,41,0,0
1614543468103,41,ViewCategory,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-2,,true,,428,809,2,2,null,41,3836,0
1614543472186,78,homepage,308,Permanent Redirect,JPetstore 1-3,text,true,,399,550,3,3,http://petstore.octoperf.com/actions/Catalog.action,78,0,37
1614543472185,78,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-3,,true,,399,550,3,3,null,78,1,37
